file,pronouns,determiners,reflexives,interrogatives,prepositions,superlatives,conjunct,modals,suma,ilca,othr,gif,exclams,temporalcausal,relclausesentences,meansent,avgrelclause
mde_texts/mde_prose_frost-1840-2.txt.out,1321.0,1738.0,27.0,506.0,1420.0,7.0,326.0,170.0,42.0,13.0,27.0,12.0,0.0,106.0,145.0,71.06160781367393,40.40588235294118
mde_texts/mde_prose_garrick-1759-2.txt.out,1115.0,616.0,35.0,124.0,541.0,15.0,351.0,308.0,12.0,2.0,7.0,25.0,5.0,48.0,65.0,63.20353159851301,36.15277777777778
mde_texts/mde_prose_gibson-1729-2.txt.out,303.0,1129.0,14.0,0.0,1053.0,44.0,435.0,104.0,41.0,13.0,36.0,1.0,0.0,72.0,99.0,306.3170731707317,84.19
mde_texts/mde_prose_gisborne-1802-2.txt.out,600.0,1028.0,31.0,94.0,1110.0,7.0,314.0,154.0,15.0,6.0,10.0,38.0,4.0,69.0,123.0,144.76861702127658,63.697560975609754
mde_texts/mde_prose_gladstone-1873-1.txt.out,855.0,1099.0,22.0,26.0,1134.0,20.0,372.0,297.0,27.0,5.0,20.0,58.0,1.0,37.0,79.0,85.01687289088864,44.40229885057471
mde_texts/mde_verse_historyofjohnnyqua.txt.out,3939.0,4793.0,30.0,64.0,3837.0,94.0,2690.0,1969.0,119.0,26.0,45.0,209.0,41.0,750.0,545.0,161.4448871181939,44.51453855878635
mde_texts/mde_verse_idyllsoftheking.txt.out,1529.0,2117.0,50.0,109.0,1959.0,23.0,1609.0,214.0,34.0,2.0,12.0,33.0,48.0,240.0,148.0,122.48221343873517,36.47150259067357
mde_texts/mde_verse_johnclare.txt.out,1881.0,3843.0,23.0,108.0,3209.0,50.0,2398.0,451.0,38.0,5.0,18.0,46.0,78.0,355.0,225.0,138.6770747740345,40.237588652482266
mde_texts/mde_verse_justfolks.txt.out,2485.0,2777.0,24.0,105.0,2080.0,75.0,1411.0,545.0,49.0,12.0,23.0,81.0,19.0,332.0,257.0,109.00773694390716,31.86196319018405
mde_texts/mde_verse_kipling.txt.out,4314.0,6623.0,24.0,229.0,4513.0,78.0,2480.0,758.0,51.0,20.0,11.0,137.0,331.0,420.0,339.0,96.22435635472007,31.88118811881188
